Label,Title,Description
enhancement,บันทึกการยืมคืนเอกสารเพิ่มfieldผู้พิจารณาที่ตารางแสดงข้อมูล,รบกวนช่วยดำเนินการเพิ่มfieldผู้พิจารณาคนที่ทำการอนุมัติหรือไม่อนุมัติtaskนั้นๆที่หน้าบันทึกการยืมคืน
enhancement,บันทึกการยืมคืนเอกสารแก้ไขการแสดงปุ่มหยิบเอกสารกับคืนเอกสารเข้าชั้น,รบกวนช่วยดำเนินการแก้ไขการแสดงปุ่มหยิบเอกสารกับคืนเอกสารเข้าชั้นซึ่งปัจจุบันปุ่มจะแสดงให้เจ้าหน้าที่
invalid,Removethisuselessassignmenttolocalvariabletemp,httpsgithubcombcirclenbtclibraryfrontendblob92bf2e893d60fc7bb28090dc40765f81c23d2f2asrccomponentsBox
invalid,Removelabel,httpsgithubcombcirclenbtclibraryfrontendblob92bf2e893d60fc7bb28090dc40765f81c23d2f2asrccomponentsBox
invalid,Removeuseofthiscommaoperator,httpsgithubcombcirclenbtclibraryfrontendblob92bf2e893d60fc7bb28090dc40765f81c23d2f2asrccomponentsBox
bug,ทำลายเอกสารไม่สามารถค้นหาจากรหัสตู้ได้,รบกวนช่วยแก้ไขกรณีไม่สามารถค้นหาจากรหัสตู้ได้แต่สามารถค้นหาจากชื่อตู้ได้
bug,บันทึกย้ายเอกสารภายในและภายนอกระบบแสดงเอกสารเดิมให้ย้ายซ้ำได้,รบกวนช่วยดำเนินการแก้ไขกรณีย้ายเอกสารไปแล้วแล้วต้องการย้ายเพิ่มเมื่อค้นหากล่องเอกสารเดิมพบว่าสามารถย
bug,ตรวจสอบการอนุมัติย้ายชื่อของผู้พิจารณาไม่แสดงกรณีไม่อนุมัติย้าย,รบกวนช่วยแก้ไขกรณีไม่อนุมัติย้ายชื่อของผู้พิจารณาไม่แสดงค่ะต้องรีเฟรชระบบ1ครังถึงจะแสดงค่ะ
enhancement,ตรวจสอบการอนุมัติย้ายแก้ไขคำจากภายในห้องเป็นภายใน,รบกวนช่วยดำเนินการแก้ไขคำจากภายในห้องเป็นภายในค่ะ
bug,ยืมเอกสารระบบแสดงเอกสารเดิมให้ยืมซ้ำได้,รบกวนช่วยดำเนินการแก้ไขกรณียืมเอกสารไปแล้วแล้วต้องการยืมเพิ่มเมื่อค้นหาเอกสารเดิมพบว่าสามารถยืมได้อี
enhancement,ตรวจสอบการอนุมัติย้ายแก้ไขให้คำว่าไม่มีรายการแสดงอยู่ตรงกลางตาราง,รบกวนช่วยดำเนินแก้ไขให้คำว่าไม่มีรายการแสดงอยู่ตรงกลางตารางให้ด้วยค่ะ
bug,รายงานเอกสารที่ถูกทำลายแก้ไขการแสดงชื่อผู้ทำลาย,รบกวนช่วยดำเนินการแก้ไขชื่อผู้ทำลายโดยนำชื่อนามสกุลมาแสดงแบบรายงานอื่นๆด้วยค่ะตัวอย่างรายงานอื่นๆ
bug,หน้ายกเลิกกล่องเอกสารไม่สามารถค้นหาข้อมูลจากฟิลด์รหัสตู้ได้,หน้ายกเลิกกล่องเอกสารไม่สามารถค้นหาข้อมูลจากฟิลด์รหัสตู้ได้
bug,รายงานพื้นที่ที่ถูกใช้เก็บเอกสารและพื้นที่ว่างข้อมูลของAdminแสดงไม่ถูกต้อง,รายงานพื้นที่ที่ถูกใช้เก็บเอกสารและพื้นที่ว่างข้อมูลของAdminแสดงไม่ถูกต้องยกตัวอย่างห้องอเล็กซ์เฟอร์
bug,รายงานย้ายเอกสารไปคลังภายนอกระบบแสดงรายการค้นหาจากfilterห้องจัดเก็บเอกสารไม่ถูกต้อง,รบกวนช่วยแก้ไขกรณีค้นหาจากfilterห้องจัดเก็บเอกสารและคลิกค้นหาจากนั้นคลิกล้างข้อมูลและทำการเลือกค้นหา
bug,บันทึกย้ายเอกสารไม่สามารถค้นหาจากfilterพื้นที่รหัสตู้ชั้นและช่องได้,ไม่สามารถค้นหาจากfilterพื้นที่รหัสตู้ชั้นและช่องได้ดังนั้นแก้ไขการค้นหาโดยที่แต่ละfilterไม่ต้องrelat
enhancement,บันทึกย้ายเอกสารเพิ่มข้อมูลที่การค้นหาfilterสถานะ,รบกวนช่วยดำเนินการเพิ่มข้อมูลที่การค้นหาfilterสถานะดังนี้ไม่อนุมัติการย้ายภายในไม่อนุมัติการย้ายภายน
bug,บันทึกย้ายเอกสารแก้ไขการแสดงปุ่มที่fieldaction,รบกวนช่วยแก้ไขการแสดงปุ่มที่fieldactionผู้ที่มีสิทธิ์เป็นเจ้าหน้าที่กดActionได้เฉพาะรายการของตนเองแต
bug,บันทึกการยืมคืนค้นหาจากfilterผู้ยืมพบว่ามีข้อมูลแสดงไม่ครบ,รบกวนช่วยแก้ไขกรณีค้นหาจากfilterผู้ยืมพบว่ามีข้อมูลแสดงไม่ครบค่ะ
bug,บันทึกการยืมคืนfieldวันที่คืนไม่มีข้อมูลแต่เมื่อค้นหาจากfilterวันที่คืนพบว่ามีรายการแสดง,รบกวนช่วยแก้ไขกรณีfieldวันที่คืนไม่มีข้อมูลแต่เมื่อค้นหาจากfilterวันที่คืนพบว่ามีรายการแสดงค่ะ
bug,ตรวจสอบอนุมัติยืมคืนไม่สามารถค้นหาข้อมูลจากfilterรหัสแฟ้มได้,รบกวนช่วยแก้ไขกรณีไม่สามารถค้นหาข้อมูลจากfilterรหัสแฟ้มได้ค่ะ
bug,ตรวจสอบการอนุมัติยืมคืนfieldผู้อนุมัติไม่แสดงกรณีreject,รบกวนช่วยเพิ่มข้อมูลที่fieldผู้อนุมัติกรณีมีสถานะไม่อนุมัติการยืมด้วยค่ะ
bug,แจ้งเตือนเมื่อคลิกที่รายการแจ้งเตือนตัวเลขแสดงการแจ้งเตือนต้องจำนวนลดลง,แจ้งเตือนเมื่อมีการคลิกที่รายการแจ้งเตือนตัวเลขแสดงการแจ้งเตือนต้องลดจำนวนลงตอนนี้ตัวเลขจะลดลงก็ต่อเ
enhancement,แก้ไขการแสดงชื่อfield,รบกวนช่วยแก้ไขการแสดงชื่อfieldให้เป็นรหัสชั้นช่อง
bug,จัดการชั้นช่องแสดงข้อมูลจำนวนชั้นไม่ถูกต้อง,รบกวนช่วยดำเนินการแก้ไขกรณีเพิ่มจำนวนชั้นช่องเรียบร้อยแล้วทำการลบชั้นช่อง1ชั้นพบว่าเมื่อคลิกกลับไปหน
bug,ย้ายภายในช่องที่มีกล่องเต็มแล้วต้องไม่สามารถเพิ่มกล่องเข้าไปได้อีก,ย้ายภายในตัวอย่างเคสกรณีที่ช่องที่จะย้ายไปยังสามารถใส่กล่องได้อีก2กล่องเมื่อมาเลือกกล่องที่จะย้ายแล้
enhancement,เพิ่มการย้ายเอกสารให้สามารถย้ายระหว่างห้องได้,เพิ่มการย้ายเอกสารให้สามารถย้ายระหว่างห้องได้เนื่องจากการทำงานจริงของuserมีการย้ายเอกสารจากห้องนึงไป
bug,ย้ายเอกสารภายในกล่องที่ยกเลิกแล้วยังแสดงอยู่,ย้ายเอกสารภายในกล่องที่ยกเลิกแล้วยังแสดงอยู่ในหน้าค้นหาของย้ายเอกสารภายในที่ถูกคือกล่องที่ยกเลิกแล้ว
bug,ย้ายภายในช่องเอกสารที่มีกล่องเต็มจำนวนแล้วต้องไม่สามารถย้ายกล่องเพิ่มเข้าไปได้อีก,ย้ายภายในต้องไม่สามารถย้ายกล่องไปช่องที่เต็มแล้วได้ตัวอย่างcase1ชั้น1ช่อง1ระบุจำนวนกล่องที่สามารถจัด
enhancement,หน้าตรวจสอบอนุมัติย้ายเพิ่มข้อมูลให้ทราบว่าจะย้ายเอกสารไปที่ไหน,หน้าตรวจสอบอนุมัติย้ายให้เพิ่มข้อมูลเพื่อให้ผู้อนุมัติทราบว่าจะย้ายกล่องเอกสารไปที่ใดโดยเมื่อคลิกตรง
bug,สิทธิ์การใช้งานเจ้าหน้าที่จะต้องไม่สามารถอนุมัติรายการที่รอนุมัติได้,รบกวนช่วยตรวจสอบและแก้ไขกรณีเจ้าหน้าที่คลิกpopupแจ้งเตือนไปยังรายการรอการอนุมัติแล้วสามารถอนุมัติราย
bug,ห้องเอกสารลบห้องเอกสารได้ทั้งๆที่มีการเพิ่มสิทธิ์ผู้ใช้งานในห้องเรียบร้อยแล้ว,รบกวนช่วยแก้ไขกรณีลบห้องเอกสารได้ทั้งๆที่มีการเพิ่มสิทธิ์ผู้ใช้งานในห้องเรียบร้อยแล้วค่ะซึ่งจริงๆแล้
bug,หน้ายกเลิกกล่องเอกสารไม่แสดงรายการกล่องที่ถูกยกเลิก,หน้ายกเลิกกล่องเอกสารเมื่อคลิกยกเลิกกล่องแล้วกดrefreshหรือออกไปจากหน้ายกเลิกกล่องแล้วกลับเข้ามาอีกคร
bug,หน้ายกเลิกกล่องเอกสารฟิลด์วันที่ยกเลิกไม่แสดงข้อมูลฟิลด์ผู้ยกเลิกกล่องแสดงชื่อผิด,หน้ายกเลิกกล่องเอกสารฟิลด์วันที่ยกเลิกไม่แสดงข้อมูลฟิลด์ผู้ยกเลิกกล่องแสดงชื่อผู้ยกเลิกผิด
bug,ห้องเอกสารแก้ไขชื่อห้องหรือชั้นจากนั้นกดปุ่มยกเลิกพบว่าระบบบันทึกข้อมูลให้,รบกวนช่วยแก้ไขกรณีแก้ไขชื่อห้องหรือชั้นจากนั้นกดปุ่มยกเลิกพบว่าระบบบันทึกข้อมูลให้ค่ะ
bug,ห้องเอกสารแก้ไขpopupกรณีไม่ข้อมูลชื่อห้องชั้นและอาคาร,รบกวนช่วยแก้ไขpopupกรณีไม่ข้อมูลชื่อห้องชั้นและอาคารให้ด้วยค่ะ
bug,ห้องเอกสารแก้ไขกรณีไม่กรอกชื่อห้องก็สามารถบันทึกข้อมูลได้,รบกวนช่วยแก้ไขกรณีไม่กรอกชื่อห้องก็สามารถบันทึกข้อมูลได้ค่ะ
bug,ย้ายภายในห้องช่องที่กล่องเต็มแล้วต้องไม่สามารถทำการย้ายกล่องเพิ่มเข้าไปได้,ย้ายภายในห้องช่องเอกสารที่มีการกำหนดจำนวนกล่องที่สามารถใส่ได้และกล่องเอกสารถูกเพิ่มเต็มจำนวนแล้วต้อง
